title,price,brand,Model,frequency,RAM
RTX3070 TWIN X2 LHR 8GB GDDR6 256bit DVI HDMI 3xDP RTL {10} (788) (102046),65850,Inno3D,nan,nan,nan
"PNY Quadro RTX A5000 24GB GDDR6 with ECC, PCIE 4.x16, 384bit (VCNRTXA5000-SB), (3383763)",225850,PNY,nan,nan,nan
Zotac GeForce GT 730 ZT-71113-20L PCI-E 2048Mb 64 Bit Retail (ZT-71113-20L),5480,Zotac,902,384,"ddr3/"" class=""pseudo"
Afox AMD Radeon R5 220 AFR5220-1024D3L9-V2 PCI-E 1024Mb GDDR3 64 Bit Retail,2170,Afox,AMD Radeon R5 220,650,1024
nVidia Quadro RTX A4000 PG190 PCI-E 16384Mb GDDR6 256 Bit OEM 699-5G190-0510-700R,107520,nVidia,Quadro RTX A4000,1560,16384
COLORFUL BANDS nVidia GeForce RTX 3060 NB DUO 12G V2 L-V PCI-E 12288Mb GDDR6 192 Bit Retail,47240,COLORFUL BANDS,nVidia GeForce RTX 3060,1777,12288
Afox GeForce GT 1030 AF1030-2048D5L7 PCI-E 2048Mb GDDR5 64 Bit Retail,8840,Afox,GeForce GT 1030,1227,2048
Afox AMD Radeon R5 230 230 LP PCI-E 2048Mb DDR3 64 Bit Retail AFR5230-2048D3L9-V2,2990,Afox,AMD Radeon R5 230,625,2048
"PNY Quadro T1000 T1000 PCI-E 8192Mb GDDR6 128 Bit Retail ""VCNT1000-8GB-SB""",44200,PNY,Quadro T1000,1395,8192
Afox GeForce GT 210 AF210-1024D3L8 PCI-E 1024Mb DDR3 64 Bit Retail,2290,Afox,GeForce GT 210,589,1024
GigaByte nVidia GeForce RTX 3050 GAMING OC PCI-E 8192Mb GDDR6 128 Bit Retail GV-N3050GAMING OC-8GD,33910,GigaByte,nVidia GeForce RTX 3050,1822,8192
Ninja RX580 (2048SP) 8GB GDDR5 256bit DVI HDMI DP (AJRX58085F),18960,nan,nan,nan,nan
Sapphire Radeon RX 6700 XT GAMING PULSE PCI-E 12288Mb GDDR6 192 Bit Retail 11306-02-20G,59170,Sapphire,Radeon RX 6700 XT,2581,12288
Palit nVidia GeForce RTX 3070 GAMINGPRO PCI-E 8192Mb GDDR6 256 Bit Retail,68900,Palit,nVidia GeForce RTX 3070,1725,8192
Ninja GT220 PCIE (48SP) 1GB 128BIT DDR3 DVI-D HDMI (NK22NP013F) RTL,2290,nan,nan,nan,nan
RTX3060Ti 8GB UPRISING Dual Fan GDDR6 256bit 3xDP HDMI LHR RTL (647753)  {4},64940,PNY,nVidia GeForce RTX 3060 Ti,1665,8192
RX6500XT 4GB Fighter GDDR6 64bit HDMI DP (174080),19680,PowerColor,Radeon RX 6500 XT,2610,4096
Palit nVidia GeForce RTX 3060 Ti DUAL PCI-E 8192Mb GDDR6 256 Bit OEM NE6306T019P2-190AS,55560,Palit,nVidia GeForce RTX 3060 Ti,1665,8192
SINOTEX Ninja Radeon RX 550 AHRX55045F PCI-E 4096Mb GDDR5 128 Bit Retail,11710,SINOTEX Ninja,Radeon RX 550,1071,4096
SINOTEX Ninja GeForce GTX 750 Ti NH75TI025F PCI-E 2048Mb GDDR5 128 Bit Retail,9200,SINOTEX Ninja,GeForce GTX 750 Ti,1020,2048
Gainward nVidia GeForce RTX 2060 SUPER SUPER Ghost PCI-E 8192Mb GDDR6 256 Bit OEM NE6206S018P2-1160X-1,39690,Gainward,nVidia GeForce RTX 2060 SUPER,1650,8192
nVidia Quadro RTX A2000 A2000 PCI-E 12288Mb GDDR6 192 Bit OEM (NVIDIA A2000 6G),65670,nVidia,Quadro RTX A2000,1200,12288
PNY Quadro T1000 T1000 PCI-E 8192Mb GDDR6 128 Bit Retail VCNT1000-8GB-PB,47800,PNY,Quadro T1000,1065,8192
Dell PCI-E 4.0 490-BGYC NVIDIA RTX A5000 24576Mb GDDR6 DPx4 HDCP oem,232910,DELL,nan,nan,nan
